timestamp,exchange,symbol,best_bid,best_ask,mid_price,spread,spread_pct,bid_volume,ask_volume,depth_levels,contract_type
2025-09-09T01:12:43.458157,Binance,BTCUSDT,112296.7,112296.8,112296.75,0.10000000000582077,8.904977214907891e-05,24.712999999999997,7.709,10,futures
2025-09-09T01:12:44.601987,OKX,BTCUSDT,112346.1,112346.2,112346.15,0.09999999999126885,8.901061584332783e-05,2.86396249,0.07081984,10,futures
2025-09-09T01:12:45.029815,BingX,BTCUSDT,112302.3,112305.7,112304.0,3.3999999999941792,0.003027496794409976,29.179200000000005,0.6247000000000001,10,futures
2025-09-09T01:12:45.734165,Bitunix,BTCUSDT,112296.7,112296.8,112296.75,0.10000000000582077,8.904977214907891e-05,8.2012,10.344299999999999,5,futures
2025-09-09T01:12:46.739021,Bybit,BTCUSDT,112291.3,112291.4,112291.35,0.09999999999126885,8.905405446748021e-05,5.325,2.6579999999999986,10,futures
2025-09-09T01:12:49.765171,Binance,ETHUSDT,4330.94,4330.95,4330.945,0.010000000000218279,0.00023089649026293983,254.664,89.452,10,futures
2025-09-09T01:12:50.658189,OKX,ETHUSDT,4332.46,4332.47,4332.465,0.010000000000218279,0.0002308154826459828,14.541478,3.17018,10,futures
2025-09-09T01:12:50.962461,BingX,ETHUSDT,4330.94,4331.8,4331.37,0.8600000000005821,0.019855149756326105,318.44000000000005,242.81999999999996,10,futures
2025-09-09T01:12:51.414328,Bitunix,ETHUSDT,4330.94,4330.95,4330.945,0.010000000000218279,0.00023089649026293983,71.417,62.436,5,futures
2025-09-09T01:12:52.210714,Bybit,ETHUSDT,4330.56,4330.57,4330.5650000000005,0.009999999999308784,0.00023091675103153474,49.800000000000004,17.390000000000004,10,futures
2025-09-09T01:12:55.071962,Binance,BNBUSDT,880.44,880.45,880.445,0.009999999999990905,0.0011357892883701883,83.53,106.57,10,futures
2025-09-09T01:12:56.001714,OKX,BNBUSDT,880.0,880.1,880.05,0.10000000000002274,0.011362990739165132,195.66116599999998,148.879147,10,futures
2025-09-09T01:12:56.296690,BingX,BNBUSDT,879.97,880.11,880.04,0.13999999999998636,0.015908367801462018,55.32,39.410000000000004,10,futures
2025-09-09T01:12:56.920488,Bitunix,BNBUSDT,880.44,880.45,880.445,0.009999999999990905,0.0011357892883701883,47.629999999999995,77.33,5,futures
2025-09-09T01:12:57.778230,Bybit,BNBUSDT,879.4,879.5,879.45,0.10000000000002274,0.011370743078062736,785.26,744.66,10,futures
2025-09-09T01:13:00.867610,Binance,XRPUSDT,2.9651,2.9652,2.96515,9.999999999976694e-05,0.0033725106655571203,151410.1,303706.0,10,futures
2025-09-09T01:13:02.047735,OKX,XRPUSDT,2.9662,2.9663,2.96625,9.999999999976694e-05,0.0033712600084202927,39184.377615,67456.824498,10,futures
2025-09-09T01:13:02.512991,BingX,XRPUSDT,2.9655,2.9667,2.9661,0.0011999999999998678,0.04045716597551896,221484.0,389310.0,10,futures
2025-09-09T01:13:03.093645,Bitunix,XRPUSDT,2.9651,2.9652,2.96515,9.999999999976694e-05,0.0033725106655571203,61589.5,99448.29999999999,5,futures
2025-09-09T01:13:04.113536,Bybit,XRPUSDT,2.9655,2.9656,2.96555,9.999999999976694e-05,0.00337205577379464,178682.0,271442.0,10,futures
2025-09-09T01:13:07.324262,Binance,SOLUSDT,214.3,214.31,214.305,0.009999999999990905,0.004666246704459021,7666.900000000001,7135.48,10,futures
2025-09-09T01:13:08.205124,OKX,SOLUSDT,214.41,214.42,214.415,0.009999999999990905,0.0046638528088011125,946.8881940000001,789.469216,10,futures
2025-09-09T01:13:08.508414,BingX,SOLUSDT,214.307,214.337,214.322,0.030000000000001137,0.013997629734698787,1955.0,831.0,10,futures
2025-09-09T01:13:08.908019,Bitunix,SOLUSDT,214.305,214.3051,214.30505,0.00010000000000331966,4.666245615925507e-05,1724.4,1172.8,5,futures
2025-09-09T01:13:09.718741,Bybit,SOLUSDT,214.31,214.32,214.315,0.009999999999990905,0.004666028976035698,5262.299999999999,7672.300000000001,10,futures
2025-09-09T01:13:12.480085,Binance,ADAUSDT,0.8618,0.8619,0.86185,9.999999999998899e-05,0.01160294714857446,1451565.0,1150367.0,10,futures
2025-09-09T01:13:13.558161,OKX,ADAUSDT,0.8618,0.8619,0.86185,9.999999999998899e-05,0.01160294714857446,150265.0861,218063.6398,10,futures
2025-09-09T01:13:13.909525,BingX,ADAUSDT,0.86172,0.86294,0.86233,0.0012199999999999989,0.14147716071573513,2540632.0,1972557.0,10,futures
2025-09-09T01:13:14.510025,Bitunix,ADAUSDT,0.8617,0.8618,0.86175,9.999999999998899e-05,0.011604293588626514,451277.0,472270.0,5,futures
2025-09-09T01:13:15.497741,Bybit,ADAUSDT,0.8616,0.8617,0.86165,9.999999999998899e-05,0.011605640341204548,812063.0,685102.0,10,futures
2025-09-09T01:13:18.355692,Binance,DOGEUSDT,0.23733,0.23734,0.23733500000000002,9.999999999982245e-06,0.004213453557200684,2541504.0,1520188.0,10,futures
2025-09-09T01:13:19.148104,OKX,DOGEUSDT,0.23738,0.23739,0.237385,9.999999999982245e-06,0.004212566084622973,623736.67802,412569.57127,10,futures
2025-09-09T01:13:19.453719,BingX,DOGEUSDT,0.23728,0.23741,0.237345,0.000130000000000019,0.05477258842613874,2857073.0,2304911.0,10,futures
2025-09-09T01:13:19.858491,Bitunix,DOGEUSDT,0.23732,0.23733,0.237325,1.0000000000010001e-05,0.0042136310966017065,1447161.0,617028.0,5,futures
2025-09-09T01:13:20.629177,Bybit,DOGEUSDT,0.23727,0.23728,0.237275,9.999999999982245e-06,0.004214519018009586,953826.0,1825991.0,10,futures
2025-09-09T01:13:23.560174,Binance,AVAXUSDT,25.586,25.587,25.5865,0.0010000000000012221,0.003908311023396017,6029.0,5859.0,10,futures
2025-09-09T01:13:24.601653,OKX,AVAXUSDT,25.587,25.59,25.5885,0.0030000000000001137,0.011724016648104085,240.66261099999997,716.556724,10,futures
2025-09-09T01:13:24.953670,BingX,AVAXUSDT,25.584,25.607,25.5955,0.022999999999999687,0.08985954562325286,13076.0,25357.0,10,futures
2025-09-09T01:13:25.764159,Bitunix,AVAXUSDT,25.586,25.587,25.5865,0.0010000000000012221,0.003908311023396017,8513.0,8590.0,5,futures
2025-09-09T01:13:26.808044,Bybit,AVAXUSDT,25.587,25.588,25.5875,0.0010000000000012221,0.003908158280415133,3715.5,6728.700000000001,10,futures
2025-09-09T01:13:29.644887,Binance,DOTUSDT,4.042,4.043,4.0425,0.001000000000000334,0.02473716759431871,169819.89999999997,172522.99999999997,10,futures
2025-09-09T01:13:30.497058,OKX,DOTUSDT,4.043,4.044,4.0435,0.0009999999999994458,0.02473104983305171,35414.65816,35222.19995,10,futures
2025-09-09T01:13:30.845325,BingX,DOTUSDT,4.042,4.054,4.048,0.012000000000000455,0.2964426877470468,187934.5,274363.8,10,futures
2025-09-09T01:13:31.245390,Bitunix,DOTUSDT,4.042,4.043,4.0425,0.001000000000000334,0.02473716759431871,47427.5,44377.9,5,futures
2025-09-09T01:13:32.048284,Bybit,DOTUSDT,4.0425,4.0426,4.04255,9.999999999976694e-05,0.0024736861634306797,10938.2,6800.799999999999,10,futures
2025-09-09T01:13:34.904636,Binance,LINKUSDT,23.003,23.004,23.003500000000003,0.0010000000000012221,0.004347164561919804,10807.03,15245.41,10,futures
2025-09-09T01:13:35.952446,OKX,LINKUSDT,23.007,23.009,23.008000000000003,0.0019999999999988916,0.008692628650899216,885.2108110000001,318.52106200000003,10,futures
2025-09-09T01:13:36.300309,BingX,LINKUSDT,22.996,23.009,23.002499999999998,0.013000000000001677,0.056515596130862635,16211.5,16221.4,10,futures
2025-09-09T01:13:36.876189,Bitunix,LINKUSDT,23.003,23.004,23.003500000000003,0.0010000000000012221,0.004347164561919804,20049.929999999997,16498.49,5,futures
2025-09-09T01:13:37.783387,Bybit,LINKUSDT,22.997,22.998,22.997500000000002,0.0010000000000012221,0.004348298728127935,5221.400000000001,6625.5,10,futures
2025-09-09T01:13:40.856155,Binance,LTCUSDT,112.59,112.6,112.595,0.009999999999990905,0.008881389049239224,4396.034000000001,3874.4200000000005,10,futures
2025-09-09T01:13:41.896291,OKX,LTCUSDT,112.67,112.68,112.67500000000001,0.010000000000005116,0.008875083203909576,664.9550839999999,360.445338,10,futures
2025-09-09T01:13:42.320423,BingX,LTCUSDT,112.6,112.72,112.66,0.12000000000000455,0.10651517841292787,5513.7,4530.900000000001,10,futures
2025-09-09T01:13:42.870238,Bitunix,LTCUSDT,112.6,112.61,112.60499999999999,0.010000000000005116,0.008880600328586757,1873.9850000000001,1959.7640000000001,5,futures
2025-09-09T01:13:43.781845,Bybit,LTCUSDT,112.61,112.62,112.61500000000001,0.010000000000005116,0.008879811747995485,2889.2,3839.3,10,futures
2025-09-09T01:13:46.370767,Binance,BCHUSDT,588.12,588.13,588.125,0.009999999999990905,0.001700318809775287,24.660999999999998,44.104000000000006,10,futures
2025-09-09T01:13:47.149064,OKX,BCHUSDT,588.4,588.5,588.45,0.10000000000002274,0.016993797264002502,115.97199699999999,159.01935699999999,10,futures
